 Reading in ../all_reals.csv
 length of input table       183603 x          40
 length of work table       367206 x          22
 Reading in ../df08_plantList.csv
 length of input table          802 x          11
 Coverting inputs to radians
 Will now do search through the input table to find linkable sources
  KBO_ID   N_OBS    RATE   ANGLE   STDEV    NCOR   RRATE  RANGLE    RMAG
   55260       5    4.52  -71.86    0.56       1    2.51    5.83   24.14
   55260       5    1.22  145.14    0.69       1    2.51    5.83   24.14
   18923      86    3.04 -172.25    0.56       1    3.04    7.94   24.45
   18923       8    3.85 -170.24    0.91       1    3.04    7.94   24.45
   18923       8    7.98  108.78    0.86       3    3.04    7.94   24.45
   86158      24   10.38  100.51    0.82       2    1.03    7.56   24.12
   18923       6    2.04 -169.37    0.60       1    3.04    7.94   24.45
   86158       5   13.24  127.63    0.44       1    1.03    7.56   24.12
   18923       4    2.20  102.27    0.27       1    3.04    7.94   24.45
   18923       7   10.94  160.28    0.75       3    3.04    7.94   24.45
   18923       9    8.90  178.71    0.90       2    3.04    7.94   24.45
   86158      18   10.68  133.27    0.98       1    1.03    7.56   24.12
   21420      10   12.68  119.78    0.52       2    2.95    8.78   23.06
   80626      24    3.74 -169.25    0.92       1    2.48    9.41   25.01
   80626       7    9.42  -80.12    0.68       1    2.48    9.41   25.01
   80626       7    1.15 -163.48    0.84       1    2.48    9.41   25.01
   64217     778    3.18 -171.29    0.13       1    2.91   10.69   22.25
   64217      13    6.58 -169.36    0.12       1    2.91   10.69   22.25
   64217      13   12.23 -162.59    0.17       1    2.91   10.69   22.25
   21638      14   11.98  175.84    0.94       1    2.90    7.43   22.05
   16674     423    1.86 -171.68    0.52       1    2.51    8.58   23.52
   16674      14    5.86 -173.93    0.26       1    2.51    8.58   23.52
   16674      95    1.38   71.90    0.35       1    2.51    8.58   23.52
   16674       4    7.03   85.31    0.71       1    2.51    8.58   23.52
   16674     127    1.42 -176.07    0.14       1    2.51    8.58   23.52
   16674       4    6.84 -165.02    0.19       1    2.51    8.58   23.52
   41270       6    8.31 -149.91    0.25       3    2.94    9.39   23.63
   16674       6   22.13  178.28    0.84       1    2.51    8.58   23.52
   41270       7    3.56 -145.40    0.68       1    2.94    9.39   23.63
   41270       5    9.45 -153.96    0.91       1    2.94    9.39   23.63
   67733      19    2.18  -99.10    0.72       1    1.97    7.00   24.97
   67733       6    1.49 -109.98    0.78       1    1.97    7.00   24.97
   40598     133    6.54 -131.69    0.78       2    2.73    8.86   22.83
   40598     152    7.03 -133.77    0.70       2    2.73    8.86   22.83
   67733       7    2.37  -80.28    0.93       2    1.97    7.00   24.97
   67733       4    0.84 -135.50    0.67       1    1.97    7.00   24.97
   85748      73   10.98  -28.11    0.98       3    0.11    7.65   23.26
   85748     114    9.75  -19.60    0.85       3    0.11    7.65   23.26
   40598      42    2.58 -175.29    0.05       1    2.73    8.86   22.83
   85748       7    3.31 -123.55    0.60       1    0.11    7.65   23.26
   40598      76    1.66 -166.17    0.08       1    2.73    8.86   22.83
   40598      72    2.98 -166.65    0.06       1    2.73    8.86   22.83
   85748       6   16.69 -125.67    0.89       1    0.11    7.65   23.26
   85748      17   16.09  -45.71    0.34       3    0.11    7.65   23.26
   40598      73    4.08 -166.24    0.06       1    2.73    8.86   22.83
   32591     382    3.23 -171.69    0.98       2    2.87    5.09   26.67
   32591     284    2.01   -9.05    0.92       4    2.87    5.09   26.67
    6361     784    3.18 -173.48    0.52       1    2.74    8.51   22.08
    6361     436    2.76 -168.27    0.71       2    2.74    8.51   22.08
    6361      26    5.68 -173.17    0.35       1    2.74    8.51   22.08
   51161      26    1.33   20.81    0.09       1    2.75    8.16   22.61
    6361      60    7.43   12.41    0.30       2    2.74    8.51   22.08
    6361       5    5.24 -174.55    0.17       1    2.74    8.51   22.08
    6361     100   12.75    3.51    0.97       2    2.74    8.51   22.08
   51161     113    2.83 -171.10    0.08       1    2.75    8.16   22.61
    7068      13    1.33  -65.60    0.79       1    2.84    7.58   25.89
   95370       8    5.46  143.30    0.39       2    3.05    6.78   26.74
   51161      38   13.35  -89.88    0.28       3    2.75    8.16   22.61
    6361      22    7.62  -69.89    0.51       2    2.74    8.51   22.08
    7068      22   10.84  -99.57    0.81       1    2.84    7.58   25.89
    7068       9   10.74 -100.19    0.54       1    2.84    7.58   25.89
   16758       6    6.56    5.46    0.85       2    3.13    9.39   26.85
